iter	Logloss
302	0.2554809154
303	0.2552223655
304	0.2550115506
305	0.2548040578
306	0.2545919092
307	0.2543343177
308	0.2541076976
309	0.253840387
310	0.2536457043
311	0.2534715568
312	0.2531993107
313	0.2530240139
314	0.2528466145
315	0.252480717
316	0.2522847554
317	0.2520291481
318	0.2518647639
319	0.2516894824
320	0.2515277287
321	0.2513199472
322	0.251084591
323	0.2509063583
324	0.2507263578
325	0.2505316245
326	0.2503767416
327	0.2501544449
328	0.2500004008
329	0.249769473
330	0.249575171
331	0.2493527239
332	0.2492189906
333	0.2490151932
334	0.2488695642
335	0.2486586036
336	0.2484092298
337	0.2481448695
338	0.2479634682
339	0.2477788987
340	0.2475573767
341	0.2473955251
342	0.2472750675
343	0.2471700015
344	0.2469055456
345	0.2466444496
346	0.2464097909
347	0.2462556467
348	0.2460771244
349	0.2458546234
350	0.2456470542
351	0.2455130949
352	0.2452964004
353	0.2451705705
354	0.2449829313
355	0.2448775684
356	0.2447262277
357	0.2445564529
358	0.2443843009
359	0.2442280696
360	0.2440709705
361	0.2438445642
362	0.2436435915
363	0.243466157
364	0.2433389158
365	0.2431695977
366	0.2430714892
367	0.2429113269
368	0.2427795196
369	0.2425049674
370	0.2423430999
371	0.2422084467
372	0.2420591369
373	0.2419325088
374	0.2417936908
375	0.2416299883
376	0.241437659
377	0.2412964414
378	0.2410973581
379	0.2408883078
380	0.2407456058
381	0.2405489254
382	0.2404487228
383	0.2403223606
384	0.2401138023
385	0.2399184673
386	0.2397921363
387	0.239623127
388	0.2394540177
389	0.23925225
390	0.2390939899
391	0.2389333965
392	0.2387793985
393	0.2386212777
394	0.2384094242
395	0.2382057947
396	0.2380739994
397	0.2379753773
398	0.2378521654
399	0.2374559542
400	0.2373575869
401	0.2371870158
402	0.2368848176
403	0.2367975226
404	0.2366381472
405	0.236475428
406	0.2362968504
407	0.2361799633
408	0.235956194
409	0.2358301517
410	0.2357106459
411	0.2355783404
412	0.2354138747
413	0.2352817274
414	0.2351322172
415	0.234969822
416	0.2348425223
417	0.2346839995
418	0.2345407447
419	0.2344192956
420	0.2342413856
421	0.234158279
422	0.2339963756
423	0.23383523
424	0.2337069367
425	0.2335883257
426	0.2334293745
427	0.2333250021
428	0.2331385259
429	0.2329637816
430	0.2327749762
431	0.2326145322
432	0.232435997
433	0.2323266457
434	0.2322479587
435	0.232048941
436	0.2319512445
437	0.2318394018
438	0.2316544368
439	0.2315742572
440	0.231482423
441	0.2313573792
442	0.2312380277
443	0.2309096426
444	0.2307445707
445	0.230583664
446	0.230450178
447	0.230254045
448	0.2301562443
449	0.2300816454
450	0.2299409213
451	0.2297875975
452	0.2295879224
453	0.2293590294
454	0.2292238078
455	0.2290703052
456	0.2288612047
457	0.2287914108
458	0.2286746649
459	0.2285298516
460	0.2283826935
461	0.2282780543
462	0.2281766786
463	0.2280442922
464	0.2278765928
465	0.2277282721
466	0.2275450937
467	0.2274490705
468	0.227362828
469	0.2272306867
470	0.227092008
471	0.2269853674
472	0.2268496293
473	0.2266939206
474	0.2263690356
475	0.2262423601
476	0.2261155649
477	0.2258817391
478	0.2257932866
479	0.2255525228
480	0.225411211
481	0.2252955112
482	0.2251393638
483	0.2250290746
484	0.2248834588
485	0.2247405626
486	0.2246055033
487	0.2244846039
488	0.2243541797
489	0.2242207528
490	0.2241529949
491	0.2240188076
492	0.2238732807
493	0.2238017515
494	0.2236525754
495	0.2235166004
496	0.2233623474
497	0.2232971045
498	0.2231749863
499	0.2230598413
500	0.2229070915
501	0.2228295689
502	0.2227126646
503	0.222634906
504	0.2225738397
505	0.2224015922
506	0.2222930116
507	0.222146477
508	0.2220255166
509	0.2218812007
510	0.2217357701
511	0.2216377554
512	0.2215466918
513	0.2214188945
514	0.221298327
515	0.2211543921
516	0.2210886593
517	0.2209868626
518	0.2209001224
519	0.2208063127
520	0.2207112117
521	0.2205546369
522	0.2204682592
523	0.2203775734
524	0.2202498036
525	0.2201192172
526	0.2200323496
527	0.2199092769
528	0.2197850844
529	0.2197276082
530	0.2195659241
531	0.2193935044
532	0.2192851001
533	0.219223741
534	0.2191351379
535	0.2190237033
536	0.2189107284
537	0.2187981355
538	0.2187036467
539	0.2185295927
540	0.2184228606
541	0.2183115727
542	0.2181902684
543	0.2180959724
544	0.2179970215
545	0.217894607
546	0.2178080212
547	0.2176932697
548	0.2176272162
549	0.2175220441
550	0.21736521
551	0.217272457
552	0.2171184114
553	0.2169938306
554	0.2169091417
555	0.2168500152
556	0.216709731
557	0.2165947044
558	0.2165301281
559	0.2164164659
560	0.2163593915
561	0.2162515595
562	0.2161490631
563	0.2160188411
564	0.2158577712
565	0.2157826971
566	0.2157294325
567	0.2156593028
568	0.2155518647
569	0.2154718193
570	0.2153499414
571	0.2152272537
572	0.2151017783
573	0.2149895804
574	0.2148762174
575	0.2147338131
576	0.2146045527
577	0.2144620849
578	0.2143782333
579	0.214302384
580	0.2141705047
581	0.2140381559
582	0.2139113723
583	0.213847502
584	0.2137874766
585	0.2134730408
586	0.2133632851
587	0.2132747966
588	0.2131563225
589	0.2130516797
590	0.2129947629
591	0.2128618439
592	0.2127524257
593	0.2126572861
594	0.2126009979
595	0.2125100095
596	0.2124053411
597	0.2122696046
598	0.2121588023
599	0.2120550127
600	0.212006654
601	0.2118987224
602	0.211819942
603	0.2117608809
604	0.2116481104
605	0.2115607369
606	0.2114549634
607	0.211337217
608	0.2112835706
609	0.2111822317
610	0.2111356237
611	0.2110189471
612	0.210975174
613	0.2109084419
614	0.2108269475
615	0.2107326375
616	0.2106104553
617	0.2104998143
618	0.2104207136
619	0.2103441894
620	0.2102499494
621	0.2100822506
622	0.2100125295
623	0.2099527204
624	0.2098162923
625	0.209762515
626	0.2097195441
627	0.2096158152
628	0.2095480265
629	0.2094597432
630	0.2094157348
631	0.2092745499
632	0.2091790894
633	0.2090727674
634	0.2089680011
635	0.2089238694
636	0.2088569871
637	0.2088016285
638	0.2086768234
639	0.2086335632
640	0.2085084847
641	0.2084031164
642	0.2083033483
643	0.2081787694
644	0.2081301985
645	0.2080593666
646	0.2079370331
647	0.2078957281
648	0.2078243566
649	0.2076956523
650	0.2076534528
651	0.2075629898
652	0.2073114424
653	0.2071918313
654	0.2070593233
655	0.2069653255
656	0.2069227248
657	0.2068667373
658	0.2067937228
659	0.2067267017
660	0.2066875949
661	0.206566727
662	0.2064698474
663	0.206410933
664	0.2063471319
665	0.2062357845
666	0.2061334937
667	0.2060817024
668	0.2060075302
669	0.2059680457
670	0.205906501
671	0.2058324874
672	0.2057311587
673	0.2056775161
674	0.2055760666
675	0.205536929
676	0.2054145141
677	0.20530858
678	0.2052284958
679	0.2051278365
680	0.2050586517
681	0.2049599083
682	0.2047161843
683	0.2046205591
684	0.2045378256
685	0.2044439453
686	0.2043377035
687	0.2042366437
688	0.2041883426
689	0.2040885658
690	0.2040487071
691	0.2040084781
692	0.2038858911
693	0.203844933
694	0.2037507775
695	0.2037005367
696	0.2036254277
697	0.2035230961
698	0.2034379363
699	0.2033848529
700	0.2032659214
701	0.2031479738
702	0.2030795333
703	0.2030190259
704	0.2029451857
705	0.2029051842
706	0.2028447348
707	0.202805655
708	0.2027525487
709	0.2025893699
710	0.2025495925
711	0.202478776
712	0.2024000822
713	0.2022824221
714	0.2022351276
715	0.2021439991
716	0.2020499386
717	0.2019178111
718	0.2018418147
719	0.2017481537
720	0.2015061667
721	0.2014321836
722	0.2013931732
723	0.2012825771
724	0.2012433896
725	0.2011331534
726	0.2010943359
727	0.2010045269
728	0.2009007558
729	0.2007884699
730	0.2007513147
731	0.2006379813
732	0.2005212785
733	0.2004279393
734	0.2003555144
735	0.2003171983
736	0.2002689822
737	0.2002111474
738	0.2001173712
739	0.2000087216
740	0.199968697
741	0.1999295827
742	0.1998470295
743	0.1998090644
744	0.1997741461
745	0.1996901398
746	0.1996100504
747	0.1995633308
748	0.1995047247
749	0.1994318621
750	0.1993533892
751	0.1992479874
752	0.1991541481
753	0.1990960006
754	0.1990161703
755	0.1989651503
756	0.1989064131
757	0.198868934
758	0.1987703985
759	0.1987321556
760	0.1986018588
761	0.1985582783
762	0.1985225191
763	0.1984001722
764	0.1983627623
765	0.1982680373
766	0.1981257132
767	0.1980903011
768	0.1980177617
769	0.1979034098
770	0.1978655836
771	0.1978203485
772	0.1977449657
773	0.1976487335
774	0.1975471371
775	0.1974589101
776	0.197380138
777	0.1973439086
778	0.1972890741
779	0.197254225
780	0.1972056733
781	0.1968861347
782	0.1968392337
783	0.1968020628
784	0.196733919
785	0.1966459424
786	0.1965665725
787	0.196485641
788	0.1964412353
789	0.1963424267
790	0.1962485202
791	0.1962125915
792	0.1961117224
793	0.1960392591
794	0.1959898629
795	0.1958705561
796	0.1958337132
797	0.1957868082
798	0.1956983784
799	0.1956187812
800	0.1955831147
801	0.1955477489
802	0.1954960733
803	0.1954416516
804	0.1953556114
805	0.1952526353
806	0.1952083915
807	0.1951405515
808	0.1950372815
809	0.1949703837
810	0.1949339727
811	0.1948816956
812	0.1947750004
813	0.1947406953
814	0.1946602417
815	0.1944968205
816	0.1944062638
817	0.1943717506
818	0.1943371175
819	0.1942276995
820	0.1941413243
821	0.194042659
822	0.1939740488
823	0.1938839662
824	0.1938391053
825	0.1937960495
826	0.1937051917
827	0.1936701151
828	0.1935873146
829	0.1935538619
830	0.1934948508
831	0.1934110407
832	0.1933533878
833	0.1932890465
834	0.1932061754
835	0.1931106693
836	0.1930673204
837	0.1929981404
838	0.1929199939
839	0.1928297279
840	0.1927966533
841	0.1926955125
842	0.1926265712
843	0.1925783048
844	0.1924792766
845	0.1923920463
846	0.192356993
847	0.1922881666
848	0.1922312494
849	0.1921488749
850	0.1921149977
851	0.192047578
852	0.1919975643
853	0.1919407787
854	0.1918256744
855	0.1917817159
856	0.1916939048
857	0.1915993829
858	0.1915652591
859	0.1915325272
860	0.1914717034
861	0.1913833009
862	0.1912979409
863	0.1911786947
864	0.1911446016
865	0.1911106165
866	0.1910700405
867	0.1910362984
868	0.1910024947
869	0.1909687024
870	0.1909226693
871	0.19083469
872	0.1908017386
873	0.1907138486
874	0.1906796476
875	0.1906112717
876	0.1905482613
877	0.1904978855
878	0.1904276667
879	0.1903320762
880	0.1903003663
881	0.1901985029
882	0.1901579807
883	0.1899665501
884	0.1898826104
885	0.189823904
886	0.1897915194
887	0.1897266267
888	0.1896644187
889	0.1895803749
890	0.1895391893
891	0.1894650484
892	0.1893892424
893	0.189348967
894	0.1892541939
895	0.1892119055
896	0.1891368928
897	0.1891040493
898	0.1889940661
899	0.1888999607
900	0.1888071966
901	0.1887472445
902	0.1887164681
903	0.1886331419
904	0.1885188344
905	0.1884674517
906	0.1884339527
907	0.1883887908
908	0.1882933981
909	0.1882409163
910	0.188182935
911	0.1881438783
912	0.1881025115
913	0.1879908165
914	0.1879575912
915	0.1877401865
916	0.1876628631
917	0.1876099339
918	0.1875629131
919	0.1875307599
920	0.1874704491
921	0.187438246
922	0.1874064204
923	0.1873612124
924	0.1873191899
925	0.1872482513
926	0.1871300736
927	0.1870993357
928	0.1870688408
929	0.1870370928
930	0.186958181
931	0.1868840499
932	0.1868445265
933	0.1867741313
934	0.1867346503
935	0.1866867772
936	0.1866003554
937	0.1865688966
938	0.1865169472
939	0.1864434073
940	0.1863496522
941	0.1863191805
942	0.1862886431
943	0.186258318
944	0.1862164691
945	0.1861668679
946	0.1861054615
947	0.1860225206
948	0.1859607094
949	0.1859297057
950	0.1858311681
951	0.1857662062
952	0.1856990152
953	0.1856239092
954	0.185539394
955	0.1854712089
956	0.1853984228
957	0.185367087
958	0.185279822
959	0.1852109367
960	0.1851809239
961	0.1851002154
962	0.1850228865
963	0.184985006
964	0.184924028
965	0.1848572266
966	0.1847839694
967	0.1847079262
968	0.1846771922
969	0.1846380933
970	0.1845335809
971	0.184492484
972	0.18443915
973	0.1843527861
974	0.1842863614
975	0.184247922
976	0.1842181486
977	0.1841881512
978	0.1841575523
979	0.1840711297
980	0.1840224236
981	0.1839411334
982	0.1838473708
983	0.1837821131
984	0.183751248
985	0.1836822193
986	0.1836313883
987	0.1835568597
988	0.1834652326
989	0.1834257479
990	0.1833312519
991	0.1833032525
992	0.1832722178
993	0.1832036032
994	0.1831143586
995	0.1830717077
996	0.1829668731
997	0.1829372962
998	0.1828931142
999	0.1828050257
